name,trait,valence,inferred,control,direct,ratio,passes_rank,passes_ratio,PASS
Greta,dishonest,-,11.0,1000.0,15.5,90.9090909090909,True,True,True
Simon,curious,+,2.5,173.0,12.0,69.2,True,True,True
Bruno,lazy,-,3.0,115.5,3.5,38.5,True,True,True
Nadia,brave,+,1.0,21.0,8.5,21.0,True,True,True
Marek,cowardly,-,41.5,444.0,1.0,10.698795180722891,True,True,True
Maria,generous,+,4.0,26.5,3.0,6.625,True,True,True
Elias,loyal,+,10.0,58.5,61.5,5.85,True,True,True
Viktor,cruel,-,174.5,568.0,9.0,3.2550143266475646,True,False,False
Otto,greedy,-,251.0,551.5,11.0,2.197211155378486,False,False,False
Priya,patient,+,165.5,227.5,148.0,1.3746223564954683,True,False,False
