name,trait,valence,arm,distance,condition,is_decision,trait_j_median_rank,trait_logit_median_rank,n_trait_ids,scene_len_tokens,ctrl_len_tokens
Elias,loyal,+,inferred,0,baseline,False,10.5,9.0,8,26,0
Elias,loyal,+,inferred,0,scene,False,220.0,62.0,8,26,0
Elias,loyal,+,inferred,1,baseline,False,55.0,19.0,8,26,20
Elias,loyal,+,inferred,1,scene,False,379.0,129.0,8,26,20
Elias,loyal,+,inferred,1,control,False,25.5,13.0,8,26,20
Elias,loyal,+,inferred,2,baseline,False,56.0,22.0,8,26,21
Elias,loyal,+,inferred,2,scene,False,381.0,151.5,8,26,21
Elias,loyal,+,inferred,2,control,False,107.0,24.0,8,26,21
Elias,loyal,+,inferred,4,baseline,False,36.0,21.0,8,26,21
Elias,loyal,+,inferred,4,scene,False,363.5,155.5,8,26,21
Elias,loyal,+,inferred,4,control,False,60.0,23.0,8,26,21
Elias,loyal,+,inferred,7,baseline,False,49.5,26.5,8,26,21
Elias,loyal,+,inferred,7,scene,False,445.0,215.0,8,26,21
Elias,loyal,+,inferred,7,control,False,58.5,23.5,8,26,21
Elias,loyal,+,inferred,10,baseline,True,47.5,25.5,8,26,21
Elias,loyal,+,inferred,10,scene,True,300.0,215.0,8,26,21
Elias,loyal,+,inferred,10,control,True,44.0,22.0,8,26,21
Elias,loyal,+,inferred,30,baseline,False,48.5,21.0,8,26,21
Elias,loyal,+,inferred,30,scene,False,296.5,164.0,8,26,21
Elias,loyal,+,inferred,30,control,False,37.5,18.0,8,26,21
Maria,generous,+,inferred,0,baseline,False,4.0,36.0,10,19,0
Maria,generous,+,inferred,0,scene,False,34.0,129.0,10,19,0
Maria,generous,+,inferred,1,baseline,False,3.0,32.5,10,19,20
Maria,generous,+,inferred,1,scene,False,426.0,285.5,10,19,20
Maria,generous,+,inferred,1,control,False,7.0,54.0,10,19,20
Maria,generous,+,inferred,2,baseline,False,3.0,28.5,10,19,20
Maria,generous,+,inferred,2,scene,False,264.5,259.0,10,19,20
Maria,generous,+,inferred,2,control,False,6.0,58.0,10,19,20
Maria,generous,+,inferred,4,baseline,False,8.5,52.5,10,19,19
Maria,generous,+,inferred,4,scene,False,246.0,236.5,10,19,19
Maria,generous,+,inferred,4,control,False,3.5,35.0,10,19,19
Maria,generous,+,inferred,7,baseline,False,31.5,103.0,10,19,19
Maria,generous,+,inferred,7,scene,False,368.5,228.0,10,19,19
Maria,generous,+,inferred,7,control,False,29.0,101.0,10,19,19
Maria,generous,+,inferred,10,baseline,True,26.0,75.0,10,19,19
Maria,generous,+,inferred,10,scene,True,714.5,320.5,10,19,19
Maria,generous,+,inferred,10,control,True,23.5,70.5,10,19,19
Maria,generous,+,inferred,30,baseline,False,55.5,96.0,10,19,19
Maria,generous,+,inferred,30,scene,False,432.0,330.0,10,19,19
Maria,generous,+,inferred,30,control,False,78.5,105.5,10,19,19
Nadia,brave,+,inferred,0,baseline,False,1.0,3.5,11,21,0
Nadia,brave,+,inferred,0,scene,False,8.5,42.0,11,21,0
Nadia,brave,+,inferred,1,baseline,False,1.0,14.5,11,21,20
Nadia,brave,+,inferred,1,scene,False,145.0,243.5,11,21,20
Nadia,brave,+,inferred,1,control,False,1.0,4.5,11,21,20
Nadia,brave,+,inferred,2,baseline,False,2.5,17.0,11,21,21
Nadia,brave,+,inferred,2,scene,False,146.5,297.5,11,21,21
Nadia,brave,+,inferred,2,control,False,1.0,11.0,11,21,21
Nadia,brave,+,inferred,4,baseline,False,12.0,40.0,11,21,21
Nadia,brave,+,inferred,4,scene,False,177.0,421.5,11,21,21
Nadia,brave,+,inferred,4,control,False,7.0,45.0,11,21,21
Nadia,brave,+,inferred,7,baseline,False,4.0,18.0,11,21,21
Nadia,brave,+,inferred,7,scene,False,230.0,361.0,11,21,21
Nadia,brave,+,inferred,7,control,False,6.0,26.5,11,21,21
Nadia,brave,+,inferred,10,baseline,True,3.5,12.5,11,21,21
Nadia,brave,+,inferred,10,scene,True,320.0,380.5,11,21,21
Nadia,brave,+,inferred,10,control,True,3.0,13.0,11,21,21
Nadia,brave,+,inferred,30,baseline,False,1.0,8.0,11,21,21
Nadia,brave,+,inferred,30,scene,False,587.5,606.5,11,21,21
Nadia,brave,+,inferred,30,control,False,2.5,9.0,11,21,21
Simon,curious,+,inferred,0,baseline,False,2.0,25.0,8,18,0
Simon,curious,+,inferred,0,scene,False,313.5,268.5,8,18,0
Simon,curious,+,inferred,1,baseline,False,3.5,41.0,8,18,20
Simon,curious,+,inferred,1,scene,False,284.0,300.5,8,18,20
Simon,curious,+,inferred,1,control,False,3.5,51.0,8,18,20
Simon,curious,+,inferred,2,baseline,False,4.0,41.0,8,18,20
Simon,curious,+,inferred,2,scene,False,212.5,225.5,8,18,20
Simon,curious,+,inferred,2,control,False,1.0,7.0,8,18,20
Simon,curious,+,inferred,4,baseline,False,3.0,32.5,8,18,19
Simon,curious,+,inferred,4,scene,False,200.0,198.0,8,18,19
Simon,curious,+,inferred,4,control,False,2.0,31.0,8,18,19
Simon,curious,+,inferred,7,baseline,False,2.0,22.0,8,18,18
Simon,curious,+,inferred,7,scene,False,167.0,175.5,8,18,18
Simon,curious,+,inferred,7,control,False,2.0,22.0,8,18,18
Simon,curious,+,inferred,10,baseline,True,2.0,11.0,8,18,18
Simon,curious,+,inferred,10,scene,True,295.5,210.5,8,18,18
Simon,curious,+,inferred,10,control,True,2.0,13.0,8,18,18
Simon,curious,+,inferred,30,baseline,False,1.0,7.5,8,18,18
Simon,curious,+,inferred,30,scene,False,535.5,196.0,8,18,18
Simon,curious,+,inferred,30,control,False,1.0,7.5,8,18,18
Bruno,lazy,-,inferred,0,baseline,False,3.0,178.5,5,24,0
Bruno,lazy,-,inferred,0,scene,False,481.5,2026.5,5,24,0
Bruno,lazy,-,inferred,1,baseline,False,7.0,235.5,5,24,20
Bruno,lazy,-,inferred,1,scene,False,332.0,1891.0,5,24,20
Bruno,lazy,-,inferred,1,control,False,8.5,221.5,5,24,20
Bruno,lazy,-,inferred,2,baseline,False,5.5,188.0,5,24,21
Bruno,lazy,-,inferred,2,scene,False,428.0,1860.5,5,24,21
Bruno,lazy,-,inferred,2,control,False,4.0,173.0,5,24,21
Bruno,lazy,-,inferred,4,baseline,False,8.5,211.0,5,24,21
Bruno,lazy,-,inferred,4,scene,False,448.0,1459.0,5,24,21
Bruno,lazy,-,inferred,4,control,False,8.5,243.5,5,24,21
Bruno,lazy,-,inferred,7,baseline,False,4.5,98.0,5,24,21
Bruno,lazy,-,inferred,7,scene,False,518.0,1560.0,5,24,21
Bruno,lazy,-,inferred,7,control,False,5.5,125.0,5,24,21
Bruno,lazy,-,inferred,10,baseline,True,4.0,81.0,5,24,21
Bruno,lazy,-,inferred,10,scene,True,687.5,2013.5,5,24,21
Bruno,lazy,-,inferred,10,control,True,4.0,113.5,5,24,21
Bruno,lazy,-,inferred,30,baseline,False,1.5,72.0,5,24,21
Bruno,lazy,-,inferred,30,scene,False,1022.0,2449.0,5,24,21
Bruno,lazy,-,inferred,30,control,False,1.5,69.5,5,24,21
Greta,dishonest,-,inferred,0,baseline,False,10.0,58.0,9,20,0
Greta,dishonest,-,inferred,0,scene,False,1232.5,2704.5,9,20,0
Greta,dishonest,-,inferred,1,baseline,False,32.0,212.0,9,20,20
Greta,dishonest,-,inferred,1,scene,False,1480.0,1268.0,9,20,20
Greta,dishonest,-,inferred,1,control,False,9.0,123.5,9,20,20
Greta,dishonest,-,inferred,2,baseline,False,36.5,248.0,9,20,20
Greta,dishonest,-,inferred,2,scene,False,1401.5,1369.5,9,20,20
Greta,dishonest,-,inferred,2,control,False,83.5,272.0,9,20,20
Greta,dishonest,-,inferred,4,baseline,False,13.5,121.5,9,20,20
Greta,dishonest,-,inferred,4,scene,False,1925.0,1904.5,9,20,20
Greta,dishonest,-,inferred,4,control,False,64.5,424.5,9,20,20
Greta,dishonest,-,inferred,7,baseline,False,15.0,128.0,9,20,20
Greta,dishonest,-,inferred,7,scene,False,1949.5,2344.0,9,20,20
Greta,dishonest,-,inferred,7,control,False,42.0,324.5,9,20,20
Greta,dishonest,-,inferred,10,baseline,True,18.0,172.5,9,20,20
Greta,dishonest,-,inferred,10,scene,True,2462.5,2259.5,9,20,20
Greta,dishonest,-,inferred,10,control,True,19.5,148.0,9,20,20
Greta,dishonest,-,inferred,30,baseline,False,26.0,114.5,9,20,20
Greta,dishonest,-,inferred,30,scene,False,3452.0,2402.5,9,20,20
Greta,dishonest,-,inferred,30,control,False,18.0,74.5,9,20,20
Marek,cowardly,-,inferred,0,baseline,False,43.5,228.5,5,23,0
Marek,cowardly,-,inferred,0,scene,False,830.5,926.0,5,23,0
Marek,cowardly,-,inferred,1,baseline,False,83.0,292.5,5,23,20
Marek,cowardly,-,inferred,1,scene,False,404.5,199.5,5,23,20
Marek,cowardly,-,inferred,1,control,False,141.0,469.5,5,23,20
Marek,cowardly,-,inferred,2,baseline,False,196.0,380.0,5,23,21
Marek,cowardly,-,inferred,2,scene,False,280.0,207.0,5,23,21
Marek,cowardly,-,inferred,2,control,False,99.5,347.0,5,23,21
Marek,cowardly,-,inferred,4,baseline,False,495.5,628.0,5,23,21
Marek,cowardly,-,inferred,4,scene,False,581.0,268.0,5,23,21
Marek,cowardly,-,inferred,4,control,False,219.0,539.0,5,23,21
Marek,cowardly,-,inferred,7,baseline,False,576.5,830.5,5,23,21
Marek,cowardly,-,inferred,7,scene,False,1421.5,790.0,5,23,21
Marek,cowardly,-,inferred,7,control,False,616.5,981.5,5,23,21
Marek,cowardly,-,inferred,10,baseline,True,897.5,1066.5,5,23,21
Marek,cowardly,-,inferred,10,scene,True,2084.0,1243.5,5,23,21
Marek,cowardly,-,inferred,10,control,True,721.0,960.5,5,23,21
Marek,cowardly,-,inferred,30,baseline,False,655.5,1305.0,5,23,21
Marek,cowardly,-,inferred,30,scene,False,2068.5,1871.0,5,23,21
Marek,cowardly,-,inferred,30,control,False,678.5,1177.0,5,23,21
